"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 11 15:19:01 UTC 2021","Fri Jun 11 15:19:02 UTC 2021","782","","Search page","","Search page","should open home page","should open home page",""
"passed","Fri Jun 11 15:19:02 UTC 2021","Fri Jun 11 15:19:02 UTC 2021","165","","Search page","","Search page","should have search button","should have search button",""
